ProductID;AvailableQuantity;NetPrice;EuropeanArticleNumber;NetRetailPrice;Description;GrossMass;ManufacturerPartNumber;CategoryText1;ManufacturerName
"47774248";1;34.71;"4047443426604";;"HAMA UNIVERSAL NOTEBOOK CHARGER, 12-22 V/90W - 200004";0.750;"00200004";"Equipamento de Escritório";"HAMA"
"47774249";17;26.03;"4047443426628";;"HAMA USB-C PD NOTEBOOK CHARGER, 220V, 65W - 200006";0.360;"00200006";"Equipamento de Escritório";"HAMA"
"47774250";6;37.6;"4047443426635";;"HAMA USB-C NOTEBOOK CHARGER, 5-20V/92W - 00200007";0.510;"00200007";"Equipamento de Escritório";"HAMA"
"47774371";3;8.06;"4047443489401";;"HAMA 12V USB TYPE-C CHARGER, 12W, BLACK - 201609";0.081;"00201609";"Equipamento de Escritório";"HAMA"
"47774372";0;6.51;"4047443489678";;"HAMA FAST CHARGER, USB-C, POWER DELIVERY (PD  / QUALCOMM, 20W, BLACK - 00201637";0.055;"00201637";"Telecomunicações e Wearables";"HAMA"
"47774373";6;19.84;"4047443516558";;"HAMA GAN CHARGER, 1USB-C+2A, 45W - 201995";0.133;"00201995";"Telecomunicações e Wearables";"HAMA"
"47774374";6;5.82;"4047443482075";;"HAMA INDIVIDUAL SHUCK SOCKET WITH SUPPRESSOR, WHITE - 223323";0.146;"00223323";"Periféricos e Acessórios";"HAMA"
"47774384";0;518.53;"196804118888";;"LENOVO THINKCENTRE NEO 50S I5-13400 8GB 256GB WIN11 PRO 1Y";7.000;"12JH000JPG";"Portáteis, PC e Tablet";"LENOVO"
"47774387";0;748.33;"196804122755";;"LENOVO THINKCENTRE NEO 50S I7-13700 16GB 512GB WIN11 PRO 1Y";7.000;"12JH0011PG";"Portáteis, PC e Tablet";"LENOVO"
"47774391";11;498.55;"196804584621";;"LENOVO THINKCENTRE NEO 50Q G4 I5-13420H 8GB 256GB WIN11 PRO";5.183;"12LN000APG";"Portáteis, PC e Tablet";"LENOVO"
"47774392";6;428.61;"196804563411";;"LENOVO THINKCENTRE NEO 50Q I3-1215U 8GB 256GB WIN11 PRO 1Y";3.600;"12LN001BPG";"Portáteis, PC e Tablet";"LENOVO"
"47774393";0;588.47;"196804578972";;"LENOVO THINKCENTRE NEO 50Q G4 I5-13420H 16GB 512GB WIN11 PRO";5.183;"12LN001KPG";"Portáteis, PC e Tablet";"LENOVO"
"47774395";0;768.31;"197531945730";;"LENOVO THINKCENTRE NEO 50A 27 G5 AIO I5-13420H 27INCH 16GB 512GB WIN11 PRO";8.000;"12SB000FPG";"Portáteis, PC e Tablet";"LENOVO"
"47774396";10;748.33;"197531957184";;"LENOVO THINKCENTRE NEO 50A 27 G5 AIO I7-13620H 27INCH 16GB 512GB WIN11 PRO";8.000;"12SB000HPG";"Portáteis, PC e Tablet";"LENOVO"
"47774397";5;798.28;"197531987617";;"LENOVO THINKCENTRE NEO 50A 24 G5 AIO I5-13420H 24INCH TOUCH 16GB 512GB WIN11 PRO";8.000;"12SD0005PG";"Portáteis, PC e Tablet";"LENOVO"
"47774398";0;698.37;"197531991768";;"LENOVO THINKCENTRE NEO 50A 24 G5 AIO I5-13420H 24INCH 8GB 256GB WIN11 PRO";8.000;"12SD0008PG";"Portáteis, PC e Tablet";"LENOVO"
"47774399";0;798.25;"197531993809";;"LENOVO THINKCENTRE NEO 50A 24 G5 AIO I7-13620H 24INCH 16GB 512GB WIN11 PRO";8.000;"12SD000BPG";"Portáteis, PC e Tablet";"LENOVO"
"47774400";0;748.33;"197531985538";;"LENOVO THINKCENTRE NEO 50A 24 G5 AIO I5-13420H 24INCH 16GB 512GB WIN11 PRO";8.000;"12SD000EPG";"Portáteis, PC e Tablet";"LENOVO"
"47774402";0;618.44;"198153570997";;"LENOVO THINKCENTRE M720Q GEN 5 TINY I5-14400T 16GB 512GB SSD WIN11 PRO 3Y";1.389;"12TD000GPG";"Portáteis, PC e Tablet";"LENOVO"
"47774403";30;758.32;"198153564910";;"LENOVO THINKCENTRE M720Q GEN 5 TINY I7-14700T 16GB 512GB SSD WIN11 PRO 3Y";1.389;"12TD000HPG";"Portáteis, PC e Tablet";"LENOVO"
"47774404";15;668.4;"198153047727";;"LENOVO THINKCENTRE M70S G5 I5-14400 16GB 512GB SSD WIN11 PRO 3Y";5.889;"12U80006PG";"Portáteis, PC e Tablet";"LENOVO"
"47774405";21;818.26;"198153047918";;"LENOVO THINKCENTRE M70S G5 I7-14700 16GB 512GB SSD WIN11 PRO 3Y";5.889;"12U8000APG";"Portáteis, PC e Tablet";"LENOVO"
"47774406";150;194.88;"195122021795";;"HP E24MV G4 CONFERENCING 23.8INCH(P)";10.000;"169L0AA#ABB";"Audio, Video, Monitores e TV";"HP INC."
"47774407";0;13.43;"5600413205518";;"1LIFE XPRESS 65W GAN 3 PRO POWER ADAPTER";9.444;"1IFEPAXPRESS65GAN";"Telecomunicações e Wearables";"NOX"
"47774408";34;19.99;"198122957866";;"HP 235 WIRELESS KEYBOARD+MOUSE(P)";0.840;"1Y4D0UT#AB9";"Periféricos e Acessórios";"HP INC."
"47774409";0;2246.98;"197529527733";;"LENOVO THINKPAD P16 G2 I7-13700HX 16INCH 32GB 1TB SSD RTX2000 ADA 8GB WIN11 PRO 3Y";4.000;"21FA000CPG";"Portáteis, PC e Tablet";"LENOVO"
"47774412";0;1497.65;"197528104430";;"LENOVO THINKPAD P16V G1 AMD R7-7840HS 16INCH 32GB 1TB SSD WIN11 PRO 3Y";4.000;"21FE0011PG";"Portáteis, PC e Tablet";"LENOVO"
"47774414";6;1497.65;"198153405343";;"LENOVO THINKPAD P14S G5 ULT7 155H 14.5INCH 32GB 1TB SSD RTX500 ADA 4GB WIN11 PRO 3Y";1.789;"21G2000EPG";"Portáteis, PC e Tablet";"LENOVO"
"47774415";0;2462.73;"198154885946";;"LENOVO THINKPAD P14S G5 ULT9 185H 14.5INCH  64GB 1TB INTEL ARC GRAPHICS WIN11 PRO 3Y";1.789;"21G20048PG";"Portáteis, PC e Tablet";"LENOVO"
"47774416";0;1997.17;"197530394102";;"LENOVO THINKPAD X1 CARBON G12 ULT7-155U 14INCH 32GB 1TB WIN11 PRO 3Y";3.000;"21KC005VPG";"Portáteis, PC e Tablet";"LENOVO"
"47774417";0;1700.59;"197530393136";;"LENOVO THINKPAD X1 CARBON G12 ULT7-155U 14INCH 32GB 1TB SSD WIN11 PRO 3Y";1.200;"21KC005XPG";"Portáteis, PC e Tablet";"LENOVO"
"47774418";0;1846.79;"197530391002";;"LENOVO THINKPAD X1 CARBON G12 ULT7-155U 14INCH 32GB 1TB WIN11 PRO 3Y";3.000;"21KC0061PG";"Portáteis, PC e Tablet";"LENOVO"
"47774419";0;1847.34;"197530376740";;"LENOVO THINKPAD X1 CARBON G12 ULT7-155U 14INCH 16GB 512GB WIN11 PRO 3Y PREMIER";3.000;"21KC006JPG";"Portáteis, PC e Tablet";"LENOVO"
"47774420";0;2097.11;"197530304682";;"LENOVO THINKPAD X1 2-IN-1 G9 ULT7 155U 14INCH TOUCH 16GB 512GB WIN11 PRO 3Y";3.000;"21KE002YPG";"Portáteis, PC e Tablet";"LENOVO"
